shipment_id,date,month,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption_occurred,copper__usd_per_mt
SC-10001,2024-04-24,2024-04-01,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,2.3,7.5,Storm,0.592,40.92,1,9464.43
SC-10002,2024-01-26,2024-01-01,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,1.78,5.6,Rain,0.673,11.54,0,8338.88
SC-10003,2024-10-08,2024-10-01,Busan,Hamburg,Rail,Electronics,9180.55,170.66,3.2,0.8,Hurricane,0.832,53.13,1,9533.99
SC-10004,2024-09-07,2024-09-01,Busan,Singapore,Air,Perishables,2762.27,434.96,2.77,1.9,Fog,0.741,0.5,1,9237.48
SC-10005,2024-08-16,2024-08-01,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,4.06,2.2,Rain,0.869,2.16,1,8971.96
SC-10006,2024-05-22,2024-05-01,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,1.31,2.6,Storm,0.981,2.99,0,10139.33
SC-10007,2024-04-14,2024-04-01,Busan,Antwerp,Air,Textiles,13059.55,423.93,3.32,5.7,Fog,0.558,1.25,1,9464.43
SC-10010,2024-03-30,2024-03-01,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0,8689.13
SC-10013,2024-02-02,2024-02-01,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,2.3,4.7,Storm,0.66,7.58,1,8304.95
SC-10014,2024-01-31,2024-01-01,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,2.86,8.7,Storm,0.671,9.4,1,8338.88
SC-10015,2024-04-05,2024-04-01,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,1.25,8.5,Hurricane,0.95,25.5,1,9464.43
SC-10016,2024-08-11,2024-08-01,Los Angeles,Busan,Road,Perishables,4911.51,21.71,1.22,5.1,Clear,0.871,3.76,0,8971.96
SC-10017,2024-08-26,2024-08-01,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.99,7.1,Storm,0.986,1.83,1,8971.96
SC-10020,2024-01-28,2024-01-01,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0,8338.88
SC-10022,2024-07-22,2024-07-01,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1,9385.31
SC-10027,2024-08-13,2024-08-01,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,4.15,6.5,Fog,0.511,11.18,0,8971.96
SC-10030,2024-10-11,2024-10-01,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,1.22,6.5,Storm,0.893,25.79,0,9533.99
SC-10031,2024-01-07,2024-01-01,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1,8338.88
SC-10032,2024-06-12,2024-06-01,Singapore,Dubai,Road,Perishables,1443.25,282.64,4.1,0.4,Storm,0.862,2.5,1,9648.17
SC-10035,2024-12-14,2024-12-01,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,2.34,8.1,Fog,0.906,15.57,0,8916.32
SC-10036,2024-10-11,2024-10-01,Busan,Marseille,Road,Textiles,4916.9,308.98,4.15,3.8,Hurricane,0.79,27.96,1,9533.99
SC-10037,2024-06-08,2024-06-01,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,2.16,4.7,Storm,0.618,5.17,1,9648.17
SC-10038,2024-08-08,2024-08-01,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1,8971.96
SC-10039,2024-12-10,2024-12-01,Singapore,Busan,Rail,Perishables,6882.21,461.38,1.53,4.1,Storm,0.523,17.32,1,8916.32
SC-10040,2024-04-14,2024-04-01,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,4.24,5.3,Fog,0.601,0.5,1,9464.43
SC-10041,2024-04-04,2024-04-01,Busan,Antwerp,Rail,Electronics,7680.07,296.27,1.66,0.2,Storm,0.876,15.87,1,9464.43
SC-10043,2024-04-09,2024-04-01,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,3.04,6.4,Fog,0.645,18.12,0,9464.43
SC-10045,2024-12-18,2024-12-01,Busan,Los Angeles,Road,Textiles,10106.57,301.63,3.24,5.8,Rain,0.929,9.76,1,8916.32
SC-10047,2024-09-27,2024-09-01,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,1.2,4.5,Rain,0.598,16.27,1,9237.48
SC-10048,2024-02-14,2024-02-01,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,3.7,3.6,Hurricane,0.758,110.18,1,8304.95
SC-10051,2024-05-07,2024-05-01,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,2.72,7.8,Rain,0.883,11.65,0,10139.33
SC-10053,2024-03-21,2024-03-01,Dubai,Shanghai,Rail,Textiles,13475.0,43.4,2.55,8.9,Hurricane,0.713,107.82,1,8689.13
SC-10055,2024-10-27,2024-10-01,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,2.77,7.4,Rain,0.983,1.65,1,9533.99
SC-10060,2024-07-15,2024-07-01,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,2.05,0.2,Fog,0.719,12.92,0,9385.31
SC-10062,2024-03-12,2024-03-01,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,3.12,0.9,Rain,0.873,9.0,0,8689.13
