model,fold,mae,rmse,r2,n_train,n_val,best_params
DummyRegressor,1,19.142954086317722,31.724781439641486,-0.0030879994139159095,360.0,363.0,{}
DummyRegressor,2,19.583653700337972,32.12471981434746,-3.0537828692445146e-06,723.0,363.0,{}
DummyRegressor,3,20.17465990898437,34.26931924339355,-0.0009407671285832642,1086.0,363.0,{}
DummyRegressor,4,17.24730626422326,24.764886562154967,-0.010449118874028773,1449.0,363.0,{}
DummyRegressor,mean,19.03714348996583,30.720926764884368,-0.003620234799849298,,,{}
DummyRegressor,std,1.2658765330173365,4.1248783097937975,0.0047321763039705955,,,{}
RidgeRegressor,1,24.511654062127956,35.96295295298996,-0.2889986034316343,360.0,363.0,{'alpha': 100.0}
RidgeRegressor,2,12.335910412018569,22.440580954130255,0.5120325860396884,723.0,363.0,{'alpha': 100.0}
RidgeRegressor,3,12.286485481786576,22.81652064635104,0.55629302064927,1086.0,363.0,{'alpha': 100.0}
RidgeRegressor,4,10.633715185821442,15.584170439993269,0.5998626033993606,1449.0,363.0,{'alpha': 100.0}
RidgeRegressor,mean,14.941941285438636,24.201056248366132,0.34479740166417117,,,{'alpha': 100.0}
RidgeRegressor,std,6.428661270490706,8.51682936347482,0.4240493827195989,,,{'alpha': 100.0}
RandomForestRegressor,1,3.0412148760330586,6.380151006425585,0.9594301247132734,360.0,363.0,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
RandomForestRegressor,2,1.9879104683195614,4.212203028774833,0.9828074133701282,723.0,363.0,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
RandomForestRegressor,3,1.7835146005509654,3.800294070657049,0.9876907432207803,1086.0,363.0,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
RandomForestRegressor,4,1.5531498622589535,3.152359089088122,0.9836275705073155,1449.0,363.0,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
RandomForestRegressor,mean,2.0914474517906347,4.386251798736398,0.9783889629528744,,,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
RandomForestRegressor,std,0.6576131088683752,1.399019263956931,0.012818299116847759,,,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}"
XGBoostRegressor,1,2.4331241727306328,4.970032208368372,0.9753815807470403,360.0,363.0,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
XGBoostRegressor,2,1.4066616646030057,3.1085609064669026,0.9906364315172735,723.0,363.0,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
XGBoostRegressor,3,1.4137479239276332,2.8208132560950463,0.9932181825559864,1086.0,363.0,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
XGBoostRegressor,4,1.041100919532382,1.9159496282120236,0.9939520256942213,1449.0,363.0,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
XGBoostRegressor,mean,1.5736586701984134,3.2038389997855865,0.9882970551286303,,,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
XGBoostRegressor,std,0.5988205503287647,1.2824305203859632,0.008726938135131274,,,"{'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 300, 'reg_lambda': 0.1, 'subsample': 0.8}"
