model,fold,mae,rmse,r2,n_train,n_val,best_params
DummyRegressor,1,19.142954086317722,31.724781439641486,-0.0030879994139159095,360.0,363.0,{}
DummyRegressor,2,19.583653700337972,32.12471981434746,-3.0537828692445146e-06,723.0,363.0,{}
DummyRegressor,3,20.17465990898437,34.26931924339355,-0.0009407671285832642,1086.0,363.0,{}
DummyRegressor,4,17.24730626422326,24.764886562154967,-0.010449118874028773,1449.0,363.0,{}
DummyRegressor,mean,19.03714348996583,30.720926764884368,-0.003620234799849298,,,{}
DummyRegressor,std,1.2658765330173365,4.1248783097937975,0.0047321763039705955,,,{}
RidgeRegressor,1,40.348213096243235,49.52638042359439,-1.4446401239916113,360.0,363.0,{'alpha': 10.0}
RidgeRegressor,2,12.17175526601779,20.715928543436288,0.5841550442367315,723.0,363.0,{'alpha': 10.0}
RidgeRegressor,3,12.970959888174132,21.317890292190157,0.612665778603988,1086.0,363.0,{'alpha': 10.0}
RidgeRegressor,4,11.759822982744884,16.19084397602971,0.5681024515190549,1449.0,363.0,{'alpha': 10.0}
RidgeRegressor,mean,19.31268780829501,26.937760808812637,0.08007078759204075,,,{'alpha': 10.0}
RidgeRegressor,std,14.03269422692516,15.231941207805576,1.0166409774588845,,,{'alpha': 10.0}
RandomForestRegressor,1,4.310763090037767,9.685661969678225,0.9065024193435687,360.0,363.0,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
RandomForestRegressor,2,2.4482507646939804,5.7073793025203265,0.9684357044565007,723.0,363.0,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
RandomForestRegressor,3,1.9173880754866826,4.325522106217867,0.9840531652047878,1086.0,363.0,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
RandomForestRegressor,4,1.7474719217376788,3.677853419010458,0.9777140785026492,1449.0,363.0,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
RandomForestRegressor,mean,2.6059684629890274,5.849104199356719,0.9591763418768766,,,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
RandomForestRegressor,std,1.1750686297919153,2.6941228515100066,0.03569678757031454,,,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
XGBoostRegressor,1,3.3939983356557275,6.029285943470651,0.9637695674302871,360.0,363.0,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
XGBoostRegressor,2,2.727538854400153,5.121798302485684,0.9745804666869338,723.0,363.0,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
XGBoostRegressor,3,2.3999130706517824,4.025550186168513,0.9861882752778585,1086.0,363.0,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
XGBoostRegressor,4,2.08386859039599,3.3566246993334348,0.9814370354439304,1449.0,363.0,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
XGBoostRegressor,mean,2.6513297127759134,4.63331478286457,0.9764938362097524,,,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
XGBoostRegressor,std,0.5605315840125807,1.1813363907836438,0.009729429007174157,,,"{'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 300, 'reg_lambda': 1.0, 'subsample': 0.8}"
